title,team,location,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,url
Solutions Architect,Software and Services,,2026-06-08,200666389,apple,2026-06-08,2026-06-09,0.2474,https://jobs.apple.com/en-us/details/200666389-0157/solutions-architect?team=SFTWR
Manufacturing Design Engineer- Soft Goods,Operations and Supply Chain,,2026-06-08,200666482,apple,2026-06-08,2026-06-09,0.2678,https://jobs.apple.com/en-us/details/200666482-0836/manufacturing-design-engineer-soft-goods?team=OPMFG
Senior Cloud Security Engineer,Software and Services,,2026-06-08,200653483,apple,2026-06-08,2026-06-09,0.2846,https://jobs.apple.com/en-us/details/200653483-3337/senior-cloud-security-engineer?team=SFTWR
Systems Software Developer,Hardware,,2026-06-08,200667308,apple,2026-06-08,2026-06-09,0.1956,https://jobs.apple.com/en-us/details/200667308-3956/systems-software-developer?team=HRDWR
Systems Integration Engineer - Data Center HWE,Hardware,,2026-06-08,200655594,apple,2026-06-08,2026-06-09,0.3395,https://jobs.apple.com/en-us/details/200655594-0157/systems-integration-engineer-data-center-hwe?team=HRDWR
"Manager, WW Operations Business Process Re-Engineering (BPR)",Operations and Supply Chain,,2026-06-08,200653185,apple,2026-06-08,2026-06-08,0.3077,https://jobs.apple.com/en-us/details/200653185-3956/manager-ww-operations-business-process-re-engineering-bpr?team=OPMFG
Data Scientist - Health AIML,Machine Learning and AI,,2026-06-08,200665713,apple,2026-05-29,2026-06-08,0.3516,https://jobs.apple.com/en-us/details/200665713-0836/data-scientist-health-aiml?team=MLAI
Retail Customer Care (RCC) Supervisor,Corporate Functions,,2026-06-06,200666995,apple,2026-06-05,2026-06-09,0.26,https://jobs.apple.com/en-us/details/200666995-0157/retail-customer-care-rcc-supervisor?team=CORSV
US-Manager,Apple Retail,,2026-06-06,200656810,apple,2026-06-05,2026-06-09,0.1996,https://jobs.apple.com/en-us/details/200656810-3061/us-manager?team=APPST
"Data Scientist, Apple Pay Marketing (Machine Learning Research)",Machine Learning and AI,,2026-06-06,200665533,apple,2026-06-05,2026-06-09,0.4103,https://jobs.apple.com/en-us/details/200665533-0836/data-scientist-apple-pay-marketing-machine-learning-research?team=MLAI
"Senior Machine Learning Engineer, Wallet, Payment & Commerce",Software and Services,,2026-06-06,200667108,apple,2026-06-05,2026-06-09,0.3946,https://jobs.apple.com/en-us/details/200667108-0157/senior-machine-learning-engineer-wallet-payment-commerce?team=SFTWR
ML Video Codec Algorithm Engineer,Hardware,,2026-06-06,200652180,apple,2026-06-06,2026-06-09,0.2388,https://jobs.apple.com/en-us/details/200652180-0836/ml-video-codec-algorithm-engineer?team=HRDWR
"Hardware Engineering Program Manager, iPad and Input",Hardware,,2026-06-06,200667057,apple,2026-06-05,2026-06-09,0.2263,https://jobs.apple.com/en-us/details/200667057-0836/hardware-engineering-program-manager-ipad-and-input?team=HRDWR
iPhone Product Design (PD) Budget Engineering Program Manager,Hardware,,2026-06-06,200667052,apple,2026-06-05,2026-06-09,0.1874,https://jobs.apple.com/en-us/details/200667052-0836/iphone-product-design-pd-budget-engineering-program-manager?team=HRDWR
Sr. Software Development Engineer (Applied ML)-Hardware Product Design,Hardware,,2026-06-06,200667082,apple,2026-06-05,2026-06-09,0.3406,https://jobs.apple.com/en-us/details/200667082-3956/sr-software-development-engineer-applied-ml-hardware-product-design?team=HRDWR
Detection and Response Software Engineer |,Software and Services,,2026-06-06,200655126,apple,2026-06-05,2026-06-09,0.313,https://jobs.apple.com/en-us/details/200655126-3337/detection-and-response-software-engineer?team=SFTWR
Strategic Operations Program Manager,Operations and Supply Chain,,2026-06-05,200616465,apple,2026-06-05,2026-06-09,0.3223,https://jobs.apple.com/en-us/details/200616465-0157/strategic-operations-program-manager?team=OPMFG
Opaque Touch Hardware - Sensing Design & Integration Engineer,Hardware,,2026-06-05,200666849,apple,2026-06-05,2026-06-09,0.191,https://jobs.apple.com/en-us/details/200666849-0836/opaque-touch-hardware-sensing-design-integration-engineer?team=HRDWR
Cloud Database Engineer - Apple Ads,Software and Services,,2026-06-05,200666675,apple,2026-06-05,2026-06-09,0.4326,https://jobs.apple.com/en-us/details/200666675-0157/cloud-database-engineer-apple-ads?team=SFTWR
