title,team,location,posted_date,url,source,job_category,description,job_id,first_seen_date,last_seen_date
"Software Development Engineer II, Worldwide Prime Benefits, Prime Benefits",retail,"US, WA, Seattle",2026-05-29,https://www.amazon.jobs/en/jobs/10434516/software-development-engineer-ii-worldwide-prime-benefits-prime-benefits,amazon,Software Development,"Are you passionate about transforming the shopping experience for millions of Prime members worldwide? Join Amazon's Benefits, Pricing & Constructs team where you'll build innovative technical solutions",10434516,2026-05-29,2026-05-29
"Engineering Operations Technician, AWS Data Center team ",aws,"US, NV, Sparks",2026-05-29,https://www.amazon.jobs/en/jobs/10433913/engineering-operations-technician-aws-data-center-team,amazon,"Operations, IT, & Support Engineering","Join our dynamic team and become a critical guardian of technological infrastructure! As a Data Center Engineering Technician, you'll play a pivotal role in maintaining the heartbeat of mission-critical",10433913,2026-05-29,2026-05-29
"Technical Program Manager, Infrastructure Reliability and Quality (IRQ) ",aws,"US, VA, Herndon",2026-05-29,https://www.amazon.jobs/en/jobs/10433910/technical-program-manager-infrastructure-reliability-and-quality-irq,amazon,Project/Program/Product Management--Technical,"AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. In other words, we’re the people who keep the cloud running. We support all AWS data centers",10433910,2026-05-29,2026-05-29
"Data Center Technician, DCC Communities",aws,"US, VA, Herndon",2026-05-29,https://www.amazon.jobs/en/jobs/10434809/data-center-technician-dcc-communities,amazon,"Operations, IT, & Support Engineering","This is an exciting opportunity to be part of the launch team for our new Fredericksburg, VA site! You'll be based primarily in Fredericksburg as we scale operations. During the initial phase, which could",10434809,2026-05-29,2026-05-29
"Prime Air Flight Monitor, Corporate Operations",retail,"US, NE, Omaha",2026-05-29,https://www.amazon.jobs/en/jobs/10433899/prime-air-flight-monitor-corporate-operations,amazon,Fulfillment & Operations Management,"Here  at Amazon, we embrace our differences. We are committed to furthering our  culture of diversity and inclusion of our teams within the organization.How do you get items to customers quickly, cost-effectively,",10433899,2026-05-29,2026-05-29
"Data Center Technician, AWS Data Center team ",aws,"US, NV, Sparks",2026-05-29,https://www.amazon.jobs/en/jobs/10433898/data-center-technician-aws-data-center-team,amazon,"Operations, IT, & Support Engineering","Join our dynamic AWS team and become a critical guardian of global cloud infrastructure! You'll play a pivotal role in maintaining the heartbeat of the world's most innovative technology platform, ensuring",10433898,2026-05-29,2026-05-29
"Data Center Technician, AWS Data Center team ",aws,"US, NV, Sparks",2026-05-29,https://www.amazon.jobs/en/jobs/10433897/data-center-technician-aws-data-center-team,amazon,"Operations, IT, & Support Engineering","Join our dynamic AWS team and become a critical guardian of global cloud infrastructure! You'll play a pivotal role in maintaining the heartbeat of the world's most innovative technology platform, ensuring",10433897,2026-05-29,2026-05-29
"Supply Chain Quality Manager, Amazon Key",alexa-and-amazon-devices,"US, NV, Las Vegas",2026-05-29,https://www.amazon.jobs/en/jobs/10434453/supply-chain-quality-manager-amazon-key,amazon,Supply Chain/Transportation Management,We're seeking an experienced Supply Chain Quality Manager to oversee Supplier Quality across Amazon Key programs. This role will be responsible for ensuring products are manufactured for quality throughout,10434453,2026-05-29,2026-05-29
Area Manager,fulfillment-and-operations,"US, AL, Huntsville",2026-05-29,https://www.amazon.jobs/en/jobs/10433851/area-manager,amazon,Fulfillment & Operations Management,"External job descriptionOur WW Operations network delivers millions of packages and smiles to Amazon customers every day. We are looking for motivated, customer-focused individuals who want to join our",10433851,2026-05-29,2026-05-29
"Cloud Hardware Development Engineer, Cloud AI/ML/storage server teams",aws,"US, TX, Austin",2026-05-29,https://www.amazon.jobs/en/jobs/10433844/cloud-hardware-development-engineer-cloud-ai-ml-storage-server-teams,amazon,Hardware Development,"As a Cloud Hardware Development Engineer, you will be an end-to-end owner of storage and/or accelerator (AI/ML/GPU) server platforms — from New Product Introduction (NPI) through fleet health in production.",10433844,2026-05-29,2026-05-29
